feature_key,count
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|3509|PA|63981|0|0,22
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.65|6|128|1065|80|A|64240|0|0,22
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|218.29.42.137|6|128|1072|80|A|63712|0|0,20
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1058|A|8576|0|0,19
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1056|A|8576|0|0,19
08:00:27:b5:b7:19|00:1e:49:db:19:c3|130.239.18.172|147.32.84.165|6|46|6667|1039|A|6432|0|0,18
08:00:27:b5:b7:19|00:1e:49:db:19:c3|130.239.18.172|147.32.84.165|6|46|6667|1039|PA|6432|0|0,17
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1054|A|7504|0|0,17
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1055|A|7504|0|0,17
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1040|5678|A|61320|0|0,16
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1040|5678|A|63000|0|0,16
08:00:27:b5:b7:19|00:1e:49:db:19:c3|90.177.113.3|147.32.84.165|6|117|3376|3389|A|65535|0|0,16
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|218.29.42.137|6|128|1072|80|A|64728|0|0,16
08:00:27:b5:b7:19|00:1e:49:db:19:c3|86.65.39.15|147.32.84.165|6|54|6667|1037|A|6432|0|0,15
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1061|A|9648|0|0,15
08:00:27:b5:b7:19|00:1e:49:db:19:c3|86.65.39.15|147.32.84.165|6|54|6667|1037|PA|6432|0|0,14
08:00:27:b5:b7:19|00:1e:49:db:19:c3|90.177.113.3|147.32.84.165|6|117|2826|3389|A|65535|0|0,14
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1058|A|9648|0|0,13
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1057|A|8576|0|0,13
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1049|A|11792|0|0,13
01:00:5e:7f:ff:fa|08:00:27:b5:b7:19|147.32.84.165|239.255.255.250|17|1|0|0|0|0|1035|1900,12
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1040|5678|A|59860|0|0,12
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1050|80|PA|64240|0|0,12
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1054|80|A|63059|0|0,12
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1064|80|PA|64240|0|0,12
ff:ff:ff:ff:ff:ff|08:00:27:e2:09:2d|147.32.84.191|147.32.84.255|17|128|0|0|0|0|138|138,12
ff:ff:ff:ff:ff:ff|08:00:27:1f:65:4a|147.32.84.192|147.32.84.255|17|128|0|0|0|0|138|138,12
08:00:27:e2:09:2d|00:1e:49:db:19:c3|216.155.130.130|147.32.84.191|6|48|6667|1038|PA|65535|0|0,12
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|86.65.39.15|6|128|1037|6667|A|64240|0|0,10
08:00:27:b5:b7:19|00:1e:49:db:19:c3|90.177.113.3|147.32.84.165|6|117|3509|3389|A|65535|0|0,10
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1061|80|PA|64240|0|0,10
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.65|147.32.84.165|6|43|80|1065|A|6432|0|0,10
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1057|A|7504|0|0,10
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1050|A|12864|0|0,10
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1057|80|A|63059|0|0,10
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1063|A|8576|0|0,10
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1062|A|12864|0|0,10
08:00:27:b5:b7:19|00:1e:49:db:19:c3|90.177.113.3|147.32.84.165|6|117|2566|3389|A|65535|0|0,9
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1066|A|6432|0|0,9
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1066|A|9648|0|0,9
08:00:27:e2:09:2d|00:1e:49:db:19:c3|216.155.130.130|147.32.84.191|6|48|6667|1038|A|65535|0|0,9
01:00:5e:00:00:16|08:00:27:b5:b7:19|147.32.84.165|224.0.0.22|2|1|0|0|0|0|0|0,8
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|82.96.64.4|6|128|1037|6667|A|64240|0|0,8
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|220.181.111.147|6|128|1047|80|A|64555|0|0,8
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1049|80|PA|64240|0|0,8
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1062|80|PA|64240|0|0,8
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1049|A|10720|0|0,8
08:00:27:b5:b7:19|00:1e:49:db:19:c3|123.126.51.33|147.32.84.165|6|43|80|1054|A|8576|0|0,8
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|61.135.188.210|6|128|1073|80|FA|64092|0|0,8
ff:ff:ff:ff:ff:ff|08:00:27:e2:09:2d|0|0|0|0|0|0|0|0|0|0,8
ff:ff:ff:ff:ff:ff|08:00:27:1f:65:4a|0|0|0|0|0|0|0|0|0|0,8
00:1e:49:db:19:c3|08:00:27:e2:09:2d|147.32.84.191|147.32.80.9|17|128|0|0|0|0|1025|53,8
00:1e:49:db:19:c3|08:00:27:1f:65:4a|147.32.84.192|147.32.80.9|17|128|0|0|0|0|1025|53,8
08:00:27:1f:65:4a|00:1e:49:db:19:c3|78.40.125.4|147.32.84.192|6|48|6667|1037|PA|6432|0|0,8
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|38.229.70.20|6|128|1038|6667|A|64240|0|0,8
00:1e:49:db:19:c3|08:00:27:1f:65:4a|0|0|0|0|0|0|0|0|0|0,8
00:1e:49:db:19:c3|08:00:27:e2:09:2d|0|0|0|0|0|0|0|0|0|0,8
00:1e:49:db:19:c3|08:00:27:e2:09:2d|147.32.84.191|216.155.130.130|6|128|1038|6667|A|64240|0|0,8
00:12:3f:79:0a:65|08:00:27:b5:b7:19|0|0|0|0|0|0|0|0|0|0,7
08:00:27:b5:b7:19|00:1e:49:db:19:c3|218.29.42.137|147.32.84.165|6|43|80|1072|PA|6432|0|0,7
08:00:27:b5:b7:19|00:1e:49:db:19:c3|38.229.70.20|147.32.84.165|6|47|6667|1038|PA|6432|0|0,7
08:00:27:b5:b7:19|00:1e:49:db:19:c3|38.229.70.20|147.32.84.165|6|47|6667|1041|PA|6432|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|82.96.64.4|6|128|1037|6667|PA|64240|0|0,6
08:00:27:b5:b7:19|00:1e:49:db:19:c3|82.96.64.4|147.32.84.165|6|54|6667|1037|PA|6432|0|0,6
ff:ff:ff:ff:ff:ff|00:12:3f:79:0a:65|0|0|0|0|0|0|0|0|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|192.168.88.148|6|128|1039|2869|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|192.168.88.148|6|128|1040|2869|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|192.168.88.148|6|128|1041|2869|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1040|5678|A|61940|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1043|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|94.245.120.86|6|128|1054|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.54.188.110|6|128|1058|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|64.59.134.8|6|128|1060|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|74.205.4.13|6|128|1062|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.54.188.126|6|128|1065|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.37.104|6|128|1070|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.37.120|6|128|1071|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.136|6|128|1072|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.152|6|128|1073|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.168|6|128|1074|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1256|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1413|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1543|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1711|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1878|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|2039|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|2222|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|2403|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|74.205.4.13|6|128|2596|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|38.113.116.213|6|128|2872|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|216.163.188.54|6|128|2873|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|64.191.223.38|6|128|2874|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|64.191.223.38|6|128|2875|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|38.113.116.213|6|128|2888|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|216.163.188.54|6|128|2889|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|3048|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|205.178.149.7|6|128|3207|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|3235|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.37.104|6|128|3247|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.37.120|6|128|3250|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|213.165.64.100|6|128|3251|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.136|6|128|3253|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.152|6|128|3254|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.168|6|128|3255|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|213.165.64.102|6|128|3256|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.184|6|128|3257|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.54.188.72|6|128|3258|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|64.59.134.8|6|128|3407|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|24.71.223.11|6|128|3422|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|64.59.134.8|6|128|3468|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|3554|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|3741|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|3914|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.37.120|6|128|3925|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.136|6|128|3926|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.152|6|128|3928|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.168|6|128|3929|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.184|6|128|3933|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.54.188.72|6|128|3936|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|204.232.236.214|6|128|3939|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.54.188.94|6|128|3940|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|204.232.236.215|6|128|3943|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|64.98.36.4|6|128|3948|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|4074|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|74.125.47.27|6|128|4086|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.54.188.110|6|128|4087|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.54.188.126|6|128|4088|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.37.72|6|128|4090|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.37.88|6|128|4091|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|74.205.4.13|6|128|4093|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.37.104|6|128|4094|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|64.59.134.8|6|128|4106|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|64.98.36.4|6|128|4108|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|74.125.67.27|6|128|4109|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|4298|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|66.180.193.210|6|128|4346|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|66.180.193.211|6|128|4347|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|66.180.193.212|6|128|4348|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|66.180.193.213|6|128|4349|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|213.191.142.115|6|128|4360|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|202.108.252.141|6|128|4364|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|66.180.193.210|6|128|4407|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|66.180.193.211|6|128|4408|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|66.180.193.212|6|128|4409|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|66.180.193.213|6|128|4410|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|4465|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|4656|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|216.69.186.201|6|128|4672|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|72.167.238.201|6|128|4673|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|205.178.149.7|6|128|4683|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|74.125.43.27|6|128|4685|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.88.22|6|128|4700|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|216.32.180.22|6|128|4703|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|216.69.186.201|6|128|4733|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|72.167.238.201|6|128|4734|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|74.125.43.27|6|128|4741|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|205.178.149.7|6|128|4745|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.88.22|6|128|4761|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|216.32.180.22|6|128|4764|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|4880|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|64.59.134.8|6|128|1072|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|61.6.254.106|6|128|1074|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|24.71.223.11|6|128|1076|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|204.29.74.114|6|128|1079|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|202.108.252.141|6|128|1276|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1317|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1508|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1691|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|74.205.4.13|6|128|1842|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1868|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|2057|5678|A|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.136|6|128|2069|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.152|6|128|2070|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|74.205.4.13|6|128|2071|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.168|6|128|2072|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.55.92.184|6|128|2073|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|64.98.36.4|6|128|2074|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.54.188.72|6|128|2083|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.54.188.94|6|128|2085|25|S|64240|0|0,6
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|65.54.188.110|6|128|2086|25|S|64240|0|0,6
