key,count
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(3103972489.0), np.float64(168298634.0), np.float64(6.0), np.float64(51.0), np.float64(80.0), np.float64(43533.0), np.float64(16.0), np.float64(2048.0), np.float64(0.0), np.float64(0.0)), 1)",10175
"((np.float64(203050739697615.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2211115250.0), np.float64(6.0), np.float64(128.0), np.float64(6084.0), np.float64(52871.0), np.float64(16.0), np.float64(32766.0), np.float64(0.0), np.float64(0.0)), 0)",10112
"((np.float64(167746769803311.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(2915191935.0), np.float64(2211115158.0), np.float64(17.0), np.float64(46.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(19305.0), np.float64(33306.0)), 0)",8844
"((np.float64(167746769803311.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(1823419282.0), np.float64(2211115158.0), np.float64(6.0), np.float64(52.0), np.float64(80.0), np.float64(60056.0), np.float64(16.0), np.float64(2048.0), np.float64(0.0), np.float64(0.0)), 0)",8843
"((np.float64(256079677908304.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2915191935.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(59216.0), np.float64(19305.0)), 0)",8841
"((np.float64(203050739936115.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(3516189986.0), np.float64(2211115094.0), np.float64(6.0), np.float64(53.0), np.float64(80.0), np.float64(1837.0), np.float64(16.0), np.float64(1320.0), np.float64(0.0), np.float64(0.0)), 0)",8817
"((np.float64(167746769803311.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(3352565932.0), np.float64(2211115158.0), np.float64(6.0), np.float64(58.0), np.float64(443.0), np.float64(56874.0), np.float64(16.0), np.float64(289.0), np.float64(0.0), np.float64(0.0)), 0)",8594
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(412910283.0), np.float64(168298634.0), np.float64(6.0), np.float64(50.0), np.float64(80.0), np.float64(55782.0), np.float64(16.0), np.float64(1320.0), np.float64(0.0), np.float64(0.0)), 1)",8511
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(168296454.0), np.float64(168296458.0), np.float64(17.0), np.float64(63.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(40273.0), np.float64(18420.0)), 1)",8441
"((np.float64(1098469641435.0), np.float64(1098486418651.0), np.float64(2048.0), np.float64(1357900654.0), np.float64(168298718.0), np.float64(17.0), np.float64(111.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(11666.0), np.float64(53075.0)), 1)",8410
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(168296458.0), np.float64(168296454.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(18420.0), np.float64(40273.0)), 1)",8290
"((np.float64(1096592900683.0), np.float64(1096609677899.0), np.float64(2048.0), np.float64(1357900654.0), np.float64(168298742.0), np.float64(17.0), np.float64(111.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(11666.0), np.float64(60245.0)), 1)",8286
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(3516189993.0), np.float64(168298634.0), np.float64(6.0), np.float64(50.0), np.float64(443.0), np.float64(60124.0), np.float64(16.0), np.float64(535.0), np.float64(0.0), np.float64(0.0)), 1)",8232
"((np.float64(167746769803311.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(2915191935.0), np.float64(2211115158.0), np.float64(17.0), np.float64(46.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(19305.0), np.float64(53018.0)), 0)",8205
"((np.float64(1096609677899.0), np.float64(1096592900683.0), np.float64(2048.0), np.float64(168298742.0), np.float64(1357900654.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(60245.0), np.float64(11666.0)), 1)",8197
"((np.float64(203050739702946.0), np.float64(203050739936115.0), np.float64(2048.0), np.float64(2211115094.0), np.float64(2211115095.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(53753.0), np.float64(32551.0)), 0)",8188
"((np.float64(203050739936115.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2211115094.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(32551.0), np.float64(53753.0)), 0)",8165
"((np.float64(1098486418651.0), np.float64(1098469641435.0), np.float64(2048.0), np.float64(168298718.0), np.float64(1357900654.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(53075.0), np.float64(11666.0)), 1)",8114
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(168296458.0), np.float64(168296454.0), np.float64(17.0), np.float64(63.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(18420.0), np.float64(40273.0)), 1)",8052
"((np.float64(256079677908304.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2915225471.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(50714.0), np.float64(19305.0)), 0)",8050
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(168296454.0), np.float64(168296458.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(40273.0), np.float64(18420.0)), 1)",8022
"((np.float64(90520731923714.0), np.float64(8796755037282.0), np.float64(2048.0), np.float64(167772687.0), np.float64(2211115109.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(52942.0), np.float64(55618.0)), 0)",7950
"((np.float64(8796755037282.0), np.float64(90520731923714.0), np.float64(2048.0), np.float64(2211115109.0), np.float64(167772687.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(55618.0), np.float64(52942.0)), 0)",7776
"((np.float64(167746769803311.0), np.float64(93042766637506.0), np.float64(2048.0), np.float64(2211115080.0), np.float64(2211115158.0), np.float64(6.0), np.float64(64.0), np.float64(22.0), np.float64(44476.0), np.float64(16.0), np.float64(3734.0), np.float64(0.0), np.float64(0.0)), 0)",7728
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(168298634.0), np.float64(1264950028.0), np.float64(6.0), np.float64(64.0), np.float64(43336.0), np.float64(22.0), np.float64(16.0), np.float64(52886.0), np.float64(0.0), np.float64(0.0)), 1)",7615
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(168296462.0), np.float64(2915191935.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(51351.0), np.float64(19305.0)), 1)",7346
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(2915191935.0), np.float64(168296462.0), np.float64(17.0), np.float64(45.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(19305.0), np.float64(51351.0)), 1)",7271
"((np.float64(256079677908304.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(1823419282.0), np.float64(6.0), np.float64(64.0), np.float64(60056.0), np.float64(80.0), np.float64(16.0), np.float64(14704.0), np.float64(0.0), np.float64(0.0)), 0)",7263
"((np.float64(203050739697615.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2211115250.0), np.float64(6.0), np.float64(128.0), np.float64(4495.0), np.float64(50602.0), np.float64(16.0), np.float64(32768.0), np.float64(0.0), np.float64(0.0)), 0)",7063
"((np.float64(167746769803311.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2211115158.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(50769.0), np.float64(57275.0)), 0)",6852
"((np.float64(8796755037282.0), np.float64(90520731923714.0), np.float64(2048.0), np.float64(2915225471.0), np.float64(167772687.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(19305.0), np.float64(63026.0)), 0)",6727
"((np.float64(203050739702946.0), np.float64(203050739697615.0), np.float64(2048.0), np.float64(2211115250.0), np.float64(2211115095.0), np.float64(6.0), np.float64(128.0), np.float64(50601.0), np.float64(4494.0), np.float64(16.0), np.float64(256.0), np.float64(0.0), np.float64(0.0)), 0)",6557
"((np.float64(256079677908304.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(3352565932.0), np.float64(6.0), np.float64(64.0), np.float64(56874.0), np.float64(443.0), np.float64(16.0), np.float64(23077.0), np.float64(0.0), np.float64(0.0)), 0)",6399
"((np.float64(90520731923714.0), np.float64(8796755037282.0), np.float64(2048.0), np.float64(167772687.0), np.float64(2915225471.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(63026.0), np.float64(19305.0)), 0)",6385
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(2915191935.0), np.float64(168296458.0), np.float64(17.0), np.float64(45.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(19305.0), np.float64(41294.0)), 1)",6256
"((np.float64(203050739702946.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(2915191935.0), np.float64(2211115095.0), np.float64(17.0), np.float64(46.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(19305.0), np.float64(62527.0)), 0)",6241
"((np.float64(167746769803311.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(1823419297.0), np.float64(2211115158.0), np.float64(6.0), np.float64(52.0), np.float64(80.0), np.float64(57196.0), np.float64(16.0), np.float64(2048.0), np.float64(0.0), np.float64(0.0)), 0)",6048
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(168296458.0), np.float64(2915191935.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(41294.0), np.float64(19305.0)), 1)",5977
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(3516189987.0), np.float64(168298634.0), np.float64(6.0), np.float64(50.0), np.float64(443.0), np.float64(42190.0), np.float64(16.0), np.float64(535.0), np.float64(0.0), np.float64(0.0)), 1)",5740
"((np.float64(167746769803311.0), np.float64(203050739936115.0), np.float64(2048.0), np.float64(2211115094.0), np.float64(2211115158.0), np.float64(6.0), np.float64(128.0), np.float64(1462.0), np.float64(22.0), np.float64(16.0), np.float64(32768.0), np.float64(0.0), np.float64(0.0)), 0)",5695
"((np.float64(203050739702946.0), np.float64(203050739697615.0), np.float64(2048.0), np.float64(2211115250.0), np.float64(2211115095.0), np.float64(6.0), np.float64(128.0), np.float64(52871.0), np.float64(6084.0), np.float64(16.0), np.float64(1024.0), np.float64(0.0), np.float64(0.0)), 0)",5603
"((np.float64(256079677908304.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2915191935.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(53171.0), np.float64(19305.0)), 0)",5529
"((np.float64(167746769803311.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2211115158.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(63221.0), np.float64(35612.0)), 0)",5464
"((np.float64(203050739702946.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(2211115095.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(35612.0), np.float64(63221.0)), 0)",5355
"((np.float64(203050739697615.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2211115250.0), np.float64(6.0), np.float64(128.0), np.float64(6105.0), np.float64(52892.0), np.float64(16.0), np.float64(32766.0), np.float64(0.0), np.float64(0.0)), 0)",5330
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(168298634.0), np.float64(3438079652.0), np.float64(6.0), np.float64(64.0), np.float64(45849.0), np.float64(1781.0), np.float64(16.0), np.float64(10126.0), np.float64(0.0), np.float64(0.0)), 1)",5281
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(168298634.0), np.float64(412910283.0), np.float64(6.0), np.float64(64.0), np.float64(55782.0), np.float64(80.0), np.float64(16.0), np.float64(9515.0), np.float64(0.0), np.float64(0.0)), 1)",5217
"((np.float64(167746769787822.0), np.float64(167746769801402.0), np.float64(2048.0), np.float64(2211115073.0), np.float64(2211115109.0), np.float64(17.0), np.float64(127.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(40836.0), np.float64(55618.0)), 0)",5141
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(3438079652.0), np.float64(168298634.0), np.float64(6.0), np.float64(38.0), np.float64(1544.0), np.float64(59886.0), np.float64(16.0), np.float64(235.0), np.float64(0.0), np.float64(0.0)), 1)",5091
"((np.float64(167746769801402.0), np.float64(167746769787822.0), np.float64(2048.0), np.float64(2211115109.0), np.float64(2211115073.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(55618.0), np.float64(40836.0)), 0)",5029
"((np.float64(256079677908304.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(1823419297.0), np.float64(6.0), np.float64(64.0), np.float64(57196.0), np.float64(80.0), np.float64(16.0), np.float64(14244.0), np.float64(0.0), np.float64(0.0)), 0)",4947
"((np.float64(93042766637506.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(2211115080.0), np.float64(6.0), np.float64(64.0), np.float64(44488.0), np.float64(22.0), np.float64(16.0), np.float64(23500.0), np.float64(0.0), np.float64(0.0)), 0)",4921
"((np.float64(167746769803311.0), np.float64(93042766637506.0), np.float64(2048.0), np.float64(2211115080.0), np.float64(2211115158.0), np.float64(6.0), np.float64(64.0), np.float64(22.0), np.float64(44483.0), np.float64(16.0), np.float64(3847.0), np.float64(0.0), np.float64(0.0)), 0)",4915
"((np.float64(167746769803311.0), np.float64(93042766637506.0), np.float64(2048.0), np.float64(2211115080.0), np.float64(2211115158.0), np.float64(6.0), np.float64(64.0), np.float64(22.0), np.float64(44488.0), np.float64(16.0), np.float64(227.0), np.float64(0.0), np.float64(0.0)), 0)",4874
"((np.float64(93042766637506.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(2211115080.0), np.float64(6.0), np.float64(64.0), np.float64(44475.0), np.float64(22.0), np.float64(16.0), np.float64(270.0), np.float64(0.0), np.float64(0.0)), 0)",4811
"((np.float64(167746769787822.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(2915225471.0), np.float64(2211115109.0), np.float64(17.0), np.float64(44.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(19305.0), np.float64(34079.0)), 0)",4809
"((np.float64(167746769803311.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(3516189993.0), np.float64(2211115158.0), np.float64(6.0), np.float64(53.0), np.float64(443.0), np.float64(34177.0), np.float64(16.0), np.float64(553.0), np.float64(0.0), np.float64(0.0)), 0)",4770
"((np.float64(167746769803311.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(2915225471.0), np.float64(2211115158.0), np.float64(17.0), np.float64(44.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(19305.0), np.float64(57937.0)), 0)",4717
"((np.float64(167746769803311.0), np.float64(93042766637506.0), np.float64(2048.0), np.float64(2211115080.0), np.float64(2211115158.0), np.float64(6.0), np.float64(64.0), np.float64(22.0), np.float64(44489.0), np.float64(16.0), np.float64(227.0), np.float64(0.0), np.float64(0.0)), 0)",4653
"((np.float64(256079677908304.0), np.float64(167746769787822.0), np.float64(2048.0), np.float64(2211115109.0), np.float64(2915225471.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(34079.0), np.float64(19305.0)), 0)",4640
"((np.float64(167746769803311.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(1823418314.0), np.float64(2211115158.0), np.float64(6.0), np.float64(52.0), np.float64(80.0), np.float64(40884.0), np.float64(16.0), np.float64(2048.0), np.float64(0.0), np.float64(0.0)), 0)",4460
"((np.float64(167746769803311.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(1823419061.0), np.float64(2211115158.0), np.float64(6.0), np.float64(52.0), np.float64(80.0), np.float64(58287.0), np.float64(16.0), np.float64(2048.0), np.float64(0.0), np.float64(0.0)), 0)",4324
"((np.float64(203050739697615.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2211115250.0), np.float64(6.0), np.float64(128.0), np.float64(4494.0), np.float64(50601.0), np.float64(16.0), np.float64(32768.0), np.float64(0.0), np.float64(0.0)), 0)",4137
"((np.float64(167746769803311.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(3516189993.0), np.float64(2211115158.0), np.float64(6.0), np.float64(53.0), np.float64(443.0), np.float64(34203.0), np.float64(16.0), np.float64(532.0), np.float64(0.0), np.float64(0.0)), 0)",3913
"((np.float64(203050739702946.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(2915225471.0), np.float64(2211115095.0), np.float64(17.0), np.float64(44.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(19305.0), np.float64(61322.0)), 0)",3894
"((np.float64(167746769801402.0), np.float64(167746769787822.0), np.float64(2048.0), np.float64(2211115109.0), np.float64(2211115073.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(44106.0), np.float64(35268.0)), 0)",3865
"((np.float64(256079677908304.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(1823418314.0), np.float64(6.0), np.float64(64.0), np.float64(40884.0), np.float64(80.0), np.float64(16.0), np.float64(14830.0), np.float64(0.0), np.float64(0.0)), 0)",3854
"((np.float64(167746769787822.0), np.float64(167746769801402.0), np.float64(2048.0), np.float64(2211115073.0), np.float64(2211115109.0), np.float64(17.0), np.float64(127.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(35268.0), np.float64(44106.0)), 0)",3740
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(168298634.0), np.float64(3103972489.0), np.float64(6.0), np.float64(64.0), np.float64(43533.0), np.float64(80.0), np.float64(16.0), np.float64(8886.0), np.float64(0.0), np.float64(0.0)), 1)",3657
"((np.float64(256079677908304.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(1823419061.0), np.float64(6.0), np.float64(64.0), np.float64(58287.0), np.float64(80.0), np.float64(16.0), np.float64(12781.0), np.float64(0.0), np.float64(0.0)), 0)",3648
"((np.float64(203050739702946.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(2915191935.0), np.float64(2211115095.0), np.float64(17.0), np.float64(46.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(19305.0), np.float64(59216.0)), 0)",3615
"((np.float64(167746769803311.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2211115158.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(63222.0), np.float64(37736.0)), 0)",3598
"((np.float64(256079677908304.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(2915191935.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(53018.0), np.float64(19305.0)), 0)",3554
"((np.float64(167746769803311.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(401287311.0), np.float64(2211115158.0), np.float64(6.0), np.float64(52.0), np.float64(443.0), np.float64(54394.0), np.float64(16.0), np.float64(33.0), np.float64(0.0), np.float64(0.0)), 0)",3340
"((np.float64(203050739702946.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(2915225471.0), np.float64(2211115095.0), np.float64(17.0), np.float64(44.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(19305.0), np.float64(50714.0)), 0)",3332
"((np.float64(93042766637506.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(2211115080.0), np.float64(6.0), np.float64(64.0), np.float64(44476.0), np.float64(22.0), np.float64(16.0), np.float64(270.0), np.float64(0.0), np.float64(0.0)), 0)",3325
"((np.float64(256079677908304.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(2915191935.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(33306.0), np.float64(19305.0)), 0)",3279
"((np.float64(256079677908304.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2915191935.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(62527.0), np.float64(19305.0)), 0)",3278
"((np.float64(93042766637506.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(2211115080.0), np.float64(6.0), np.float64(64.0), np.float64(44489.0), np.float64(22.0), np.float64(16.0), np.float64(16732.0), np.float64(0.0), np.float64(0.0)), 0)",3252
"((np.float64(256079677908304.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(3516189993.0), np.float64(6.0), np.float64(64.0), np.float64(34203.0), np.float64(443.0), np.float64(16.0), np.float64(18885.0), np.float64(0.0), np.float64(0.0)), 0)",3202
